time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-08T22:35:24.300Z,36.0548333,-117.5971667,1.97,0.89,ml,9,109,0.0877,0.08,ci,ci38354672,2018-11-08T22:38:52.029Z,"31km ENE of Little Lake, CA",earthquake,0.31,0.58,0.147,9,automatic,ci,ci
2018-11-08T22:32:32.680Z,33.4818333,-116.5031667,16.26,0.88,ml,21,133,0.07897,0.27,ci,ci38354664,2018-11-08T22:36:06.013Z,"18km ESE of Anza, CA",earthquake,0.72,1.04,0.269,19,automatic,ci,ci
2018-11-08T22:25:24.100Z,60.1567,-141.4784,0,1.8,ml,,,,1.17,ak,ak20336006,2018-11-08T22:28:00.728Z,"53km E of Cape Yakataga, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-11-08T22:23:36.060Z,19.4058342,-155.290329,-0.21,1.73,md,13,82,0.009167,0.1,hv,hv70679846,2018-11-08T22:26:47.240Z,"6km WSW of Volcano, Hawaii",earthquake,0.15,0.32,0.17,8,automatic,hv,hv
2018-11-08T22:15:12.120Z,38.7903328,-122.7626648,0.94,0.48,md,7,92,0.01973,0.02,nc,nc73108491,2018-11-08T22:29:02.760Z,"2km NNW of The Geysers, CA",earthquake,0.34,0.69,0.03,2,automatic,nc,nc
2018-11-08T22:09:25.630Z,33.511,-116.7968333,3.94,0.1,ml,14,139,0.00324,0.12,ci,ci38354656,2018-11-08T22:21:54.452Z,"10km NE of Aguanga, CA",earthquake,0.36,0.46,0.096,8,reviewed,ci,ci
2018-11-08T22:07:38.780Z,34.1531667,-117.4748333,7.51,0.88,ml,27,66,0.0556,0.12,ci,ci38354648,2018-11-08T22:17:54.897Z,"6km NNW of Fontana, CA",earthquake,0.23,0.42,0.084,11,reviewed,ci,ci
2018-11-08T21:58:50.720Z,38.7733345,-122.7713318,9.08,1.55,md,9,175,0.02937,0.07,nc,nc73108486,2018-11-08T22:13:03.670Z,"1km WSW of The Geysers, CA",earthquake,1.41,4.46,0.52,2,automatic,nc,nc
2018-11-08T21:19:47.340Z,45.8603333,-111.345,4.03,1.76,ml,15,89,0.304,0.17,mb,mb80322894,2018-11-08T21:30:26.300Z,"1km WNW of Manhattan, Montana",earthquake,0.44,12.3,0.085,6,reviewed,mb,mb
2018-11-08T21:17:27.180Z,38.7874985,-122.7433319,1.34,1.19,md,10,85,0.006691,0.02,nc,nc73108481,2018-11-08T21:32:03.492Z,"2km NE of The Geysers, CA",earthquake,0.25,0.57,0.15,2,automatic,nc,nc
2018-11-08T21:07:01.580Z,-34.3517,116.87,10,5,mb,,66,1.453,1.08,us,us1000hpej,2018-11-08T22:43:06.888Z,"63km SSW of Kojonup, Australia",earthquake,8,1.9,0.085,45,reviewed,us,us
2018-11-08T21:06:13.228Z,63.8402,-149.3208,128.5,1.9,ml,,,,0.32,ak,ak20335898,2018-11-08T21:10:02.309Z,"17km W of Healy, Alaska",earthquake,,1.1,,,automatic,ak,ak
2018-11-08T20:55:33.770Z,36.0908333,-117.6595,1.56,1.15,ml,15,51,0.1017,0.09,ci,ci38354576,2018-11-08T21:12:14.120Z,"26km E of Coso Junction, CA",earthquake,0.14,0.26,0.212,11,reviewed,ci,ci
2018-11-08T20:20:35.330Z,38.7888336,-122.7444992,1.21,1.79,md,14,56,0.008255,0.03,nc,nc73108466,2018-11-08T20:52:03.215Z,"2km NE of The Geysers, CA",earthquake,0.24,0.49,0.17,5,automatic,nc,nc
2018-11-08T20:16:17.330Z,45.9081667,-111.4148333,-2,1.49,ml,7,176,0.281,0.05,mb,mb80322844,2018-11-08T21:59:24.410Z,"8km NW of Manhattan, Montana",quarry blast,0.54,31.61,0.323,5,reviewed,mb,mb
2018-11-08T20:14:45.710Z,33.6603333,-116.7336667,14.51,0.87,ml,22,94,0.05066,0.07,ci,ci38354528,2018-11-08T20:26:31.352Z,"9km S of Idyllwild, CA",earthquake,0.18,0.31,0.164,21,reviewed,ci,ci
2018-11-08T19:45:34.140Z,33.8203333,-117.6656667,5.56,0.8,ml,7,230,0.05334,0.16,ci,ci38354488,2018-11-08T20:04:05.261Z,"11km WSW of Corona, CA",earthquake,0.67,0.89,0.015,3,reviewed,ci,ci
2018-11-08T19:29:57.447Z,61.7518,-151.3002,29,1.9,ml,,,,1.29,ak,ak20335892,2018-11-08T19:34:34.824Z,"66km W of Willow, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-11-08T19:03:42.849Z,57.3909,-153.4153,3.7,2.1,ml,,,,0.53,ak,ak20335889,2018-11-08T19:06:44.004Z,"37km ESE of Larsen Bay, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-11-08T18:56:38.354Z,37.0682,-117.7838,13.2,1,ml,5,215.71,0.198,0.0873,nn,nn00664745,2018-11-08T19:17:16.340Z,"46km ESE of Big Pine, California",earthquake,,11,0.51,4,reviewed,nn,nn
2018-11-08T18:52:18.010Z,18.1781,-64.8718,29,2.27,md,5,344,0.9776,0.21,pr,pr2018312004,2018-11-08T21:45:46.579Z,"19km SSE of Charlotte Amalie, U.S. Virgin Islands",earthquake,6.26,17.04,0.11,3,reviewed,pr,pr
2018-11-08T18:49:20.657Z,64.3487,-151.028,15,1.5,ml,,,,0.59,ak,ak20335885,2018-11-08T18:53:35.761Z,"75km SSW of Manley Hot Springs, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-11-08T18:33:04.292Z,69.6218,-144.2639,0,2.9,ml,,,,0.77,ak,ak20335879,2018-11-08T18:44:46.147Z,"61km SSW of Kaktovik, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-11-08T18:28:33.590Z,44.0826666666667,-122.836166666667,12.74,1.22,ml,7,101,,0.08,uw,uw61503147,2018-11-08T19:16:28.640Z,"15km ENE of Springfield, Oregon",explosion,0.42,0.95,0.267963955368372,5,reviewed,uw,uw
2018-11-08T18:28:29.340Z,33.4956667,-116.7908333,4.5,0.4,ml,19,96,0.01846,0.09,ci,ci38354432,2018-11-08T19:33:30.290Z,"9km NE of Aguanga, CA",earthquake,0.21,0.27,0.192,11,reviewed,ci,ci
2018-11-08T18:17:02.619Z,56.0588,-149.9913,12.6,3.4,ml,,,,0.72,ak,ak20335871,2018-11-08T19:36:18.748Z,"242km SE of Kodiak, Alaska",earthquake,,9.1,,,reviewed,ak,ak
2018-11-08T18:14:00.463Z,61.0576,-147.5786,41.5,1.9,ml,,,,1.06,ak,ak20335869,2018-11-08T18:18:30.288Z,"66km W of Valdez, Alaska",earthquake,,1,,,automatic,ak,ak
2018-11-08T18:11:53.979Z,68.649,-147.3513,0,2.3,ml,,,,0.57,ak,ak20335867,2018-11-08T18:23:31.009Z,"94km NW of Arctic Village, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-11-08T18:04:24.190Z,36.0861667,-117.6491667,2.15,0.37,ml,9,89,0.1073,0.06,ci,ci38354424,2018-11-08T19:36:23.095Z,"27km E of Coso Junction, CA",earthquake,0.17,0.33,0.118,4,reviewed,ci,ci
2018-11-08T17:53:28.326Z,57.0859,-152.8742,0.8,2.3,ml,,,,0.42,ak,ak20335866,2018-11-08T19:39:05.187Z,"77km SSW of Kodiak Station, Alaska",other event,,0.4,,,reviewed,ak,ak
2018-11-08T17:44:11.870Z,36.6761665,-121.3013306,3.38,2.36,md,38,105,0.06605,0.08,nc,nc73108411,2018-11-08T19:50:02.839Z,"13km S of Tres Pinos, CA",earthquake,0.28,1.17,0.21,35,automatic,nc,nc
2018-11-08T17:32:46.210Z,33.7818333,-116.137,8.04,1.13,ml,30,173,0.07195,0.14,ci,ci38354368,2018-11-08T19:27:41.332Z,"10km NE of Indio, CA",earthquake,0.32,0.53,0.171,19,reviewed,ci,ci
2018-11-08T17:30:32.610Z,33.7828333,-116.1375,8.45,0.97,ml,28,87,0.07134,0.13,ci,ci38354360,2018-11-08T19:22:22.389Z,"10km NE of Indio, CA",earthquake,0.24,0.58,0.119,13,reviewed,ci,ci
2018-11-08T17:26:58.710Z,33.7815,-116.1341667,8.41,1.1,ml,32,88,0.07433,0.13,ci,ci38354352,2018-11-08T19:19:10.100Z,"10km NE of Indio, CA",earthquake,0.3,0.56,0.153,17,reviewed,ci,ci
2018-11-08T17:17:45.280Z,33.7825,-116.1386667,8.42,1.75,ml,32,87,0.07046,0.13,ci,ci38354336,2018-11-08T19:03:45.899Z,"10km NE of Indio, CA",earthquake,0.21,0.53,0.1,12,reviewed,ci,ci
2018-11-08T17:16:50.040Z,33.7793333,-116.1338333,7.87,3.2,ml,119,34,0.07507,0.17,ci,ci38354328,2018-11-08T21:20:45.751Z,"10km NE of Indio, CA",earthquake,0.1,0.4,0.153,260,reviewed,ci,ci
2018-11-08T16:34:57.050Z,40.1443333,-122.1635,27.65,1.68,md,8,195,0.07033,0.14,nc,nc73108396,2018-11-08T18:28:03.546Z,"7km ESE of Red Bluff, CA",earthquake,2.45,0.96,0.117,10,reviewed,nc,nc
2018-11-08T16:07:54.400Z,-57.5419,-66.0208,10,4.9,mb,,127,2.766,0.83,us,us1000hpan,2018-11-08T17:46:28.040Z,"Drake Passage",earthquake,7.8,1.8,0.08,51,reviewed,us,us
2018-11-08T16:00:56.341Z,62.3166,-151.6158,90.1,2.2,ml,,,,0.61,ak,ak20335770,2018-11-08T16:04:22.044Z,"78km W of Talkeetna, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-11-08T16:00:29.535Z,38.3795,-118.8955,8.2,1.1,ml,12,80.09,0.128,0.2012,nn,nn00664714,2018-11-08T16:58:39.767Z,"28km SW of Hawthorne, Nevada",earthquake,,2.5,0.42,5,reviewed,nn,nn
2018-11-08T15:05:40.360Z,33.4891667,-116.7813333,4.37,0.53,ml,22,49,0.08446,0.17,ci,ci38354200,2018-11-08T16:10:11.791Z,"9km ENE of Aguanga, CA",earthquake,0.24,0.58,0.128,15,reviewed,ci,ci
2018-11-08T15:01:42.620Z,34.048,-116.8605,10.64,1.34,ml,41,69,0.04561,0.11,ci,ci38354192,2018-11-08T18:56:58.690Z,"14km N of Banning, CA",earthquake,0.15,0.44,0.112,20,reviewed,ci,ci
2018-11-08T15:01:09.150Z,37.7212,70.1876,19.98,4.6,mb,,49,0.843,0.92,us,us1000hp9v,2018-11-08T16:51:58.040Z,"41km ESE of Kulob, Tajikistan",earthquake,4.1,6.4,0.101,34,reviewed,us,us
2018-11-08T14:47:05.348Z,64.7649,-149.2083,21,1.6,ml,,,,0.49,ak,ak20335584,2018-11-08T14:54:07.603Z,"21km NNW of North Nenana, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-11-08T14:46:17.770Z,11.4445,139.0743,48.92,4.7,mb,,174,15.733,1.38,us,us1000hp9t,2018-11-08T15:01:33.040Z,"225km NNE of Rumung, Micronesia",earthquake,14.6,11.2,0.106,27,reviewed,us,us
2018-11-08T14:35:47.270Z,19.0008333,-154.7688333,20.65,1.94,md,41,289,0.4741,0.12,hv,hv70679286,2018-11-08T18:42:42.300Z,"53km SSE of Leilani Estates, Hawaii",earthquake,0.8,6.47,0.12,19,reviewed,hv,hv
2018-11-08T14:31:43.700Z,33.495,-116.7668333,7.74,0.41,ml,26,35,0.03293,0.12,ci,ci38354160,2018-11-08T18:39:51.778Z,"11km ENE of Aguanga, CA",earthquake,0.18,0.55,0.092,10,reviewed,ci,ci
2018-11-08T14:10:43.330Z,38.8411667,-122.8296667,2.54,0.92,md,29,71,0.005224,0.05,nc,nc73108371,2018-11-08T18:42:03.442Z,"10km WNW of Cobb, CA",earthquake,0.23,0.33,0.15,4,reviewed,nc,nc
2018-11-08T14:04:34.567Z,39.4702,-120.3379,5.3,1.3,ml,12,176.39,0.048,0.1717,nn,nn00664725,2018-11-08T17:41:50.478Z,"20km NW of Truckee, California",earthquake,,1.3,0.46,3,reviewed,nn,nn
2018-11-08T13:45:28.410Z,19.315,-155.22,4.08,2.34,ml,40,80,0.03388,0.11,hv,hv70679236,2018-11-08T19:13:34.960Z,"12km S of Volcano, Hawaii",earthquake,0.25,1.16,0.207,31,reviewed,hv,hv
2018-11-08T13:42:34.180Z,19.1618328,-155.4790039,31.99,1.93,md,47,113,0.01719,0.11,hv,hv70679231,2018-11-08T13:45:58.050Z,"4km S of Pahala, Hawaii",earthquake,0.58,0.81,0.08,4,automatic,hv,hv
2018-11-08T13:40:16.490Z,-2.921,119.4183,21.27,5.2,mb,,56,2.105,1.14,us,us1000hp94,2018-11-08T13:52:55.040Z,"5km ENE of Mamasa, Indonesia",earthquake,6.2,5.6,0.09,40,reviewed,us,us
2018-11-08T13:40:02.680Z,44.7798333,-111.139,10.98,1.34,ml,11,110,0.05003,0.17,uu,uu60303907,2018-11-08T20:02:21.480Z,"13km NNW of West Yellowstone, Montana",earthquake,0.49,0.9,0.125,3,reviewed,uu,uu
2018-11-08T13:24:13.129Z,64.9029,-148.9872,22.2,1.2,ml,,,,0.32,ak,ak20335493,2018-11-08T13:31:41.969Z,"36km N of North Nenana, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-11-08T13:17:22.270Z,33.4865,-116.7983333,4.39,0.28,ml,12,79,0.09376,0.15,ci,ci38354120,2018-11-08T14:19:18.158Z,"8km NE of Aguanga, CA",earthquake,0.38,0.81,0.165,5,reviewed,ci,ci
2018-11-08T12:53:09.590Z,37.4721,-116.8349,7,0.5,ml,8,277.21,0.34,0.1398,nn,nn00664719,2018-11-08T16:52:29.075Z,"44km SE of Goldfield, Nevada",earthquake,,6.7,0.71,6,reviewed,nn,nn
2018-11-08T12:51:57.240Z,33.4675,-116.4495,9.42,0.58,ml,24,113,0.05919,0.12,ci,ci38354096,2018-11-08T21:01:38.092Z,"23km ESE of Anza, CA",earthquake,0.23,0.54,0.133,16,reviewed,ci,ci
2018-11-08T12:47:44.410Z,33.5073333,-116.7985,3.8,0.27,ml,16,70,0.005256,0.1,ci,ci38354088,2018-11-08T14:19:44.034Z,"10km NE of Aguanga, CA",earthquake,0.25,0.68,0.1,5,reviewed,ci,ci
2018-11-08T12:44:12.580Z,33.4908333,-116.7853333,5.44,0.31,ml,24,46,0.02488,0.1,ci,ci38354080,2018-11-08T18:24:27.454Z,"9km NE of Aguanga, CA",earthquake,0.16,0.35,0.122,9,reviewed,ci,ci
2018-11-08T12:37:39.800Z,33.7065,-116.7393333,15.71,1.19,ml,48,31,0.02149,0.18,ci,ci38354072,2018-11-08T14:20:41.140Z,"4km SSW of Idyllwild, CA",earthquake,0.2,0.38,0.171,26,reviewed,ci,ci
2018-11-08T12:34:40.230Z,33.7815,-116.1345,7.97,1.76,ml,55,73,0.07406,0.15,ci,ci38354064,2018-11-08T18:32:31.640Z,"10km NE of Indio, CA",earthquake,0.14,0.59,0.135,21,reviewed,ci,ci
2018-11-08T12:34:24.990Z,33.7823333,-116.1358333,7.46,1.59,ml,51,75,0.0728,0.14,ci,ci38354056,2018-11-08T18:45:43.370Z,"10km NE of Indio, CA",earthquake,0.17,0.45,0.165,23,reviewed,ci,ci
2018-11-08T12:25:19.370Z,37.643,-118.9876667,3.83,0.73,md,20,60,0.01745,0.05,nc,nc73108346,2018-11-08T17:37:04.055Z,"1km NW of Mammoth Lakes, CA",earthquake,0.25,0.4,0.507,18,reviewed,nc,nc
2018-11-08T12:22:17.459Z,65.1848,-149.043,11.3,1.4,ml,,,,0.55,ak,ak20335489,2018-11-08T12:27:07.099Z,"61km NW of Ester, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-11-08T12:17:54.088Z,62.5059,-149.1283,42.9,1.9,ml,,,,0.82,ak,ak20335485,2018-11-08T12:23:42.861Z,"53km NE of Y, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-11-08T11:55:49.770Z,38.822834,-122.8030014,0.48,1.05,md,10,90,0.005553,0.09,nc,nc73108336,2018-11-08T12:16:02.228Z,"6km NW of The Geysers, CA",earthquake,0.31,0.92,0.02,2,automatic,nc,nc
2018-11-08T11:50:39.530Z,33.0351667,-116.4395,6.15,1.07,ml,52,48,0.04203,0.17,ci,ci38354048,2018-11-08T20:58:37.840Z,"16km ESE of Julian, CA",earthquake,0.17,0.44,0.134,25,reviewed,ci,ci
2018-11-08T11:49:24.990Z,36.958,-121.577,6.57,1.28,md,20,77,0.004859,0.09,nc,nc73108331,2018-11-08T19:10:02.601Z,"5km S of Gilroy, CA",earthquake,0.25,1.01,0.148,16,reviewed,nc,nc
2018-11-08T11:48:26.050Z,33.4821667,-116.7871667,3.97,0.54,ml,26,39,0.03207,0.19,ci,ci38354040,2018-11-08T14:21:48.380Z,"8km ENE of Aguanga, CA",earthquake,0.28,0.58,0.102,18,reviewed,ci,ci
2018-11-08T11:26:26.110Z,38.8154984,-122.7616653,1.38,1.12,md,15,97,0.01503,0.04,nc,nc73108321,2018-11-08T12:30:03.303Z,"3km WSW of Cobb, CA",earthquake,0.28,0.35,0.08,2,automatic,nc,nc
2018-11-08T11:20:03.930Z,35.4281667,-120.7065,5.7,1.47,md,26,62,0.03563,0.07,nc,nc73108316,2018-11-08T21:04:03.286Z,"8km SSW of Atascadero, CA",earthquake,0.22,0.62,0.163,15,reviewed,nc,nc
2018-11-08T11:18:30.550Z,33.5078333,-116.7978333,4.04,0.33,ml,15,69,0.0765,0.11,ci,ci38354024,2018-11-08T14:20:34.853Z,"10km NE of Aguanga, CA",earthquake,0.26,0.56,0.099,6,reviewed,ci,ci
2018-11-08T11:18:17.170Z,33.5088333,-116.7953333,4.08,0.19,ml,22,48,0.005478,0.12,ci,ci38354016,2018-11-08T18:49:47.110Z,"10km NE of Aguanga, CA",earthquake,0.18,0.33,0.095,9,reviewed,ci,ci
2018-11-08T11:04:45.400Z,38.8378334,-122.8291702,1.97,1.84,md,25,64,0.004991,0.04,nc,nc73108311,2018-11-08T11:36:02.997Z,"9km NW of The Geysers, CA",earthquake,0.2,0.33,0.18,5,automatic,nc,nc
2018-11-08T10:56:47.700Z,46.26,-122.060833333333,8.63,0.21,ml,12,225,,0.14,uw,uw61503097,2018-11-08T16:43:41.840Z,"37km SSE of Morton, Washington",earthquake,0.72,0.89,0.0949758340602922,9,reviewed,uw,uw
2018-11-08T10:26:10.490Z,33.483,-116.785,4.45,0.77,ml,35,39,0.03198,0.15,ci,ci38354008,2018-11-08T14:21:51.100Z,"9km ENE of Aguanga, CA",earthquake,0.17,0.36,0.118,26,reviewed,ci,ci
2018-11-08T10:24:53.130Z,33.7193333,-116.8121667,16.47,0.33,ml,16,164,0.08209,0.07,ci,ci38354000,2018-11-08T18:58:37.613Z,"8km ESE of Valle Vista, CA",earthquake,0.26,0.43,0.114,9,reviewed,ci,ci
2018-11-08T10:23:18.650Z,58.2955,-154.9968333,4.95,-0.33,ml,7,194,0.03506,0.23,av,av70810434,2018-11-08T22:35:11.920Z,"103km NW of Larsen Bay, Alaska",earthquake,1.76,0.98,0.319,7,reviewed,av,av
2018-11-08T10:21:34.472Z,36.0654,-115.5271,15.3,0.5,ml,7,122.86,0.049,0.1848,nn,nn00664718,2018-11-08T16:46:18.496Z,"13km WSW of Summerlin South, Nevada",earthquake,,2.3,0.58,3,reviewed,nn,nn
2018-11-08T10:12:22.068Z,39.5982,-120.3788,12.1,0.4,ml,4,241.07,0.251,0.172,nn,nn00664717,2018-11-08T16:37:04.531Z,"24km SSE of Portola, California",earthquake,,9.3,0.73,2,reviewed,nn,nn
2018-11-08T10:08:03.620Z,53.8596667,-166.8525,4.92,-0.17,ml,4,159,0.06716,0.14,av,av70810439,2018-11-08T22:37:55.760Z,"20km W of Dutch Harbor, Alaska",earthquake,0.73,1.66,0.323,4,reviewed,av,av
2018-11-08T10:07:07.500Z,58.2433333,-155.1448333,3.21,-0.56,ml,5,231,0.02147,0.07,av,av61814131,2018-11-08T22:02:24.120Z,"101km ESE of King Salmon, Alaska",earthquake,0.66,1,0.145,5,reviewed,av,av
2018-11-08T09:53:49.100Z,44.7775,-111.1483333,11.04,0.93,ml,14,75,0.03516,0.16,uu,uu60303902,2018-11-08T16:03:17.120Z,"13km NNW of West Yellowstone, Montana",earthquake,0.57,1.06,0.321,2,reviewed,uu,uu
2018-11-08T09:52:14.050Z,37.055,-121.5063333,6.41,0.86,md,20,81,0.0342,0.04,nc,nc73108306,2018-11-08T18:02:02.193Z,"8km NE of Gilroy, CA",earthquake,0.24,0.51,0.08,15,reviewed,nc,nc
2018-11-08T09:52:02.780Z,37.9045,-121.9858333,12.71,1.5,md,22,73,0.05769,0.06,nc,nc73108301,2018-11-08T21:14:02.337Z,"6km SW of Clayton, CA",earthquake,0.24,0.53,0.183,19,reviewed,nc,nc
2018-11-08T09:49:14.190Z,33.3095,-116.2605,11.46,0.54,ml,43,74,0.09093,0.18,ci,ci38353992,2018-11-08T19:58:06.227Z,"12km ENE of Borrego Springs, CA",earthquake,0.21,0.37,0.069,10,reviewed,ci,ci
2018-11-08T09:49:03.590Z,44.7826667,-111.1475,11.96,1.32,ml,15,85,0.03217,0.12,uu,uu60303897,2018-11-08T16:00:39.840Z,"13km NNW of West Yellowstone, Montana",earthquake,0.48,0.7,0.437,3,reviewed,uu,uu
2018-11-08T09:47:04.290Z,44.7778333,-111.153,10.81,1.57,ml,20,77,0.03785,0.16,uu,uu60303892,2018-11-08T15:55:29.450Z,"13km NNW of West Yellowstone, Montana",earthquake,0.47,0.64,0.289,4,reviewed,uu,uu
2018-11-08T09:42:43.930Z,37.3555,-121.7275,1.95,1.15,md,20,52,0.03725,0.04,nc,nc73108296,2018-11-08T19:35:02.740Z,"9km E of Alum Rock, CA",earthquake,0.2,0.35,0.173,19,reviewed,nc,nc
2018-11-08T09:37:03.252Z,39.3949,-119.5467,7.2,0.3,ml,7,166.23,0.169,0.2015,nn,nn00664716,2018-11-08T16:30:55.401Z,"12km NE of Virginia City, Nevada",earthquake,,6.7,0.2,3,reviewed,nn,nn
2018-11-08T09:34:09.660Z,36.2403333,-89.467,5.93,1.71,md,17,56,0.03885,0.03,nm,nm60218077,2018-11-08T13:36:59.550Z,"3km SE of Ridgely, Tennessee",earthquake,0.25,0.66,0.075,12,reviewed,nm,nm
2018-11-08T09:33:46.950Z,33.4878333,-116.7888333,5.51,1.15,ml,50,36,0.0263,0.17,ci,ci38353984,2018-11-08T14:21:55.280Z,"9km NE of Aguanga, CA",earthquake,0.17,0.56,0.136,27,reviewed,ci,ci
2018-11-08T09:21:24.160Z,33.4776667,-116.7818333,4.53,0.08,ml,15,85,0.03791,0.17,ci,ci38353976,2018-11-08T14:21:19.408Z,"9km ENE of Aguanga, CA",earthquake,0.41,0.78,0.123,2,reviewed,ci,ci
2018-11-08T09:17:50.970Z,45.8583333,-111.352,7.54,1.87,ml,16,110,0.308,0.13,mb,mb80322509,2018-11-08T19:05:50.900Z,"1km W of Manhattan, Montana",earthquake,0.34,1.55,0.097,7,reviewed,mb,mb
2018-11-08T09:12:19.170Z,33.31,-116.2846667,11.74,0.67,ml,40,137,0.07104,0.2,ci,ci38353968,2018-11-08T16:45:16.917Z,"10km NE of Borrego Springs, CA",earthquake,0.3,0.7,0.119,11,reviewed,ci,ci
2018-11-08T09:09:17.655Z,62.2752,-149.3397,34.3,1.9,ml,,,,0.61,ak,ak20335473,2018-11-08T09:12:31.883Z,"29km ENE of Y, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-11-08T09:06:12.070Z,33.4831667,-116.7895,4.58,0.36,ml,34,36,0.0305,0.16,ci,ci38353960,2018-11-08T16:38:46.147Z,"8km ENE of Aguanga, CA",earthquake,0.17,0.34,0.114,12,reviewed,ci,ci
2018-11-08T09:03:01.250Z,38.8413315,-122.8396683,1.52,0.55,md,9,102,0.004262,0.01,nc,nc73108291,2018-11-08T09:44:04.309Z,"10km NW of The Geysers, CA",earthquake,0.37,0.91,,1,automatic,nc,nc
2018-11-08T09:02:48.300Z,-15.2742,-173.305,18.53,5,mb,,61,2.007,0.95,us,us1000hp6t,2018-11-08T09:22:05.040Z,"88km NNE of Hihifo, Tonga",earthquake,9.2,4.6,0.039,205,reviewed,us,us
2018-11-08T08:56:24.230Z,33.4861667,-116.785,4.08,0.33,ml,22,39,0.02911,0.13,ci,ci38353952,2018-11-08T20:46:12.194Z,"9km ENE of Aguanga, CA",earthquake,0.19,0.35,0.111,10,reviewed,ci,ci
2018-11-08T08:50:06.910Z,33.4781667,-116.5775,8.4,0.13,ml,15,103,0.07597,0.09,ci,ci38353944,2018-11-08T14:21:53.199Z,"12km SE of Anza, CA",earthquake,0.22,0.55,0.148,4,reviewed,ci,ci
2018-11-08T08:45:50.960Z,45.8556667,-111.3375,4.07,1.1,ml,11,108,0.307,0.08,mb,mb80322504,2018-11-08T18:42:20.570Z,"0km WSW of Manhattan, Montana",earthquake,0.44,7.75,0.053,5,reviewed,mb,mb
2018-11-08T08:42:31.570Z,18.666,-68.7121,41,2.55,md,9,194,0.364,0.12,pr,pr2018312003,2018-11-08T12:49:30.742Z,"5km N of Salvaleon de Higuey, Dominican Republic",earthquake,12.4,2.92,0.64,5,reviewed,pr,pr
2018-11-08T08:41:10.197Z,60.8775,-147.4936,13.6,2.2,ml,,,,0.97,ak,ak20335470,2018-11-08T08:44:19.371Z,"65km E of Whittier, Alaska",earthquake,,0.2,,,automatic,ak,ak
